timestamp,open,high,low,close,volume
20240604 111500,5273,5273.25,5272.75,5273.25,158
20240604 111600,5273.25,5273.25,5272.5,5272.75,107
20240604 111700,5272.75,5274.5,5272.5,5274.25,413
20240604 111800,5274.25,5274.5,5273.75,5274.5,304
20240604 111900,5274.5,5275,5274.25,5274.75,324
20240604 112000,5275,5275,5274,5274.25,645
20240604 112100,5274.25,5274.5,5273.75,5273.75,270
20240604 112200,5273.75,5275,5273.5,5274.75,497
20240604 112300,5274.75,5276.25,5274,5274.5,1233
20240604 112400,5274.25,5274.5,5273.75,5274.5,332
20240604 112500,5274.5,5274.75,5274,5274.75,166
20240604 112600,5274.5,5274.75,5274.25,5274.25,237
20240604 112700,5274.5,5274.5,5274.25,5274.5,162
20240604 112800,5274.5,5274.75,5274.25,5274.5,314
20240604 112900,5274.5,5274.75,5274.25,5274.5,234
20240604 113000,5274.5,5274.5,5273.25,5273.25,307
20240604 113100,5273,5274,5272.5,5273.75,620
20240604 113200,5273.75,5274,5273.5,5273.5,230
20240604 113300,5273.5,5274.75,5273.5,5274.5,274
20240604 113400,5274.75,5277.25,5274.5,5276.75,1398
20240604 113500,5276.75,5277.25,5276.5,5276.75,306
20240604 113600,5276.75,5277.75,5276.75,5276.75,509
20240604 113700,5277,5277.25,5276.75,5277,257
20240604 113800,5277.25,5277.25,5276.5,5276.75,187
20240604 113900,5276.75,5277.25,5276.5,5276.75,360
20240604 114000,5276.75,5278.75,5276.75,5278.25,492
20240604 114100,5278.5,5278.75,5278.25,5278.25,297
20240604 114200,5278.25,5278.5,5277.75,5278,246
20240604 114300,5278.25,5278.5,5278,5278,221
20240604 114400,5278,5279,5277.75,5278.75,342
20240604 114500,5279,5279.5,5278.75,5279.25,397
20240604 114600,5279.5,5279.5,5278.25,5278.5,288
20240604 114700,5278.5,5279.25,5278.5,5278.75,288
20240604 114800,5278.75,5279.5,5278.5,5278.5,548
20240604 114900,5278.5,5278.75,5277.75,5278,428
20240604 115000,5277.75,5277.75,5276.5,5276.75,518
20240604 115100,5277,5277.5,5276,5276.25,295
20240604 115200,5276.25,5277.5,5276.25,5276.75,254
20240604 115300,5276.75,5277,5276.5,5277,125
20240604 115400,5276.75,5278,5276.75,5277.75,181
20240604 115500,5277.75,5279,5277.5,5279,295
20240604 115600,5278.75,5278.75,5278,5278.5,189
